,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12
35,291360,ACTIVE,آجیل و خشکبار طلاچینان,2023-08-02 9:15:13,,
36,31067,ACTIVE,مامان جون (شریعتی),2023-08-02 11:15:04,,
37,92418,ACTIVE,آبمیوه بستنی شانلی,2023-08-02 11:30:10,,
38,230451,ACTIVE,فست فود امیر کارو,2023-08-02 11:45:17,,
39,292565,ACTIVE,رستوران پدیده فارسی,2023-08-02 12:15:41,,
40,95622,ACTIVE,دنده کباب طاق بستان,2023-08-02 16:45:16,,
41,309306,ACTIVE,کبابسرای ملی,2023-08-02 19:45:44,,
42,216831,ACTIVE,امیرشکلات (ستارخان),2023-08-03 9:00:05,,
43,57981,ACTIVE,آبمیوه بستنی دایی حسین,2023-08-03 11:15:07,,
44,23563,ACTIVE,آرامیس (آرامش),2023-08-03 12:00:04,,
45,312038,ACTIVE,کافه رستوران‌ ژیانو,2023-08-03 12:15:49,,
46,288924,ACTIVE,رستوران ریحون,2023-08-03 12:30:39,,
47,294702,ACTIVE,کافه ویونا (تهرانپارس),2023-08-03 12:30:41,,
48,276545,ACTIVE,گیلاوا (محصولات محلی گیلان),2023-08-03 14:15:34,,
49,268116,ACTIVE,رستوران یوکا,2023-08-03 14:30:35,,
50,315571,ACTIVE,فست فود کوکو وگن,2023-08-03 14:30:51,,
51,62805,ACTIVE,شیرینی الهیه 33 (شعبه فرشته),2023-08-03 16:15:13,,
52,44950,ACTIVE,کافه کلاسیک,2023-08-03 17:15:07,,
53,33931,ACTIVE,پیتزا دارت شعبه نواب,2023-08-03 19:45:06,,
54,14673,ACTIVE,تهیه غذای گل یاس,2023-08-03 21:45:14,,
55,110756,ACTIVE,آش و حلیم آشچی,2023-08-03 23:00:14,,
56,318597,ACTIVE,کافه قهوه هگزا,2023-08-04 9:15:13,,
57,88582,ACTIVE,پروتئین اکباتان,2023-08-04 10:00:05,,
58,296681,ACTIVE,بستنی شاد (شعبه پیروزی),2023-08-04 11:15:21,,
59,82726,ACTIVE,رستوران خوان,2023-08-04 11:45:12,,
60,298578,ACTIVE,فست فود چیکیلی (تنورک),2023-08-04 12:15:54,,
61,70667,ACTIVE,کبابخانه درباری,2023-08-04 15:30:17,,
62,287767,ACTIVE,آبمیوه بستنی لوئین جلاتو,2023-08-04 23:15:17,,
63,51367,ACTIVE,قنادی ناتلی (سهروردی جنوبی),2023-08-05 7:45:03,,
64,55244,ACTIVE,نان سحر (نمایندگی گیشا),2023-08-05 7:45:03,,
65,295959,ACTIVE,کافه رستوران دالمن,2023-08-05 8:15:08,,
66,259892,ACTIVE,رستوران اس ام,2023-08-05 10:15:10,,
67,321335,ACTIVE,آرایشی بهداشتی ارکید طلایی,2023-08-05 10:15:16,,
68,292914,ACTIVE,شیرینی نون خامه ای (اندرزگو),2023-08-05 10:30:12,,
69,248233,ACTIVE,شیرینی نیشکر (نارمک),2023-08-05 11:15:14,,
70,257305,ACTIVE,آبمیوه بستنی سانیار,2023-08-05 13:30:29,,
71,80103,ACTIVE,کافه آربی برگر,2023-08-05 14:30:13,,
72,61553,ACTIVE,نانوایی سنگکی سنتی خواجه نصیر,2023-08-05 15:15:13,,
73,272620,ACTIVE,رستوران نگین شهر,2023-08-05 15:30:32,,
74,9654,ACTIVE,فست فود پاییز (دولت آباد),2023-08-05 18:15:03,,
75,266812,ACTIVE,کلاس برگر,2023-08-05 19:45:32,,
76,247028,ACTIVE,تهیه غذای مهدی,2023-08-05 21:15:26,,
77,247281,ACTIVE,فست فود فریلند,2023-08-05 22:30:03,,
78,77653,ACTIVE,فروشگاه شیرینی بیلو,2023-08-06 10:15:07,,
79,30284,ACTIVE,آسیانا,2023-08-06 11:45:06,,
80,291109,ACTIVE,رستوران جیگرط,2023-08-06 11:45:26,,
81,59873,ACTIVE,کباب ساطوری بابا میرزا,2023-08-06 12:15:15,,
82,320066,ACTIVE,فست فود نارون,2023-08-06 12:15:55,,
83,291884,ACTIVE,کترینگ لاوان,2023-08-06 12:30:46,,
84,111011,ACTIVE,تهیه غذای تیان,2023-08-06 12:45:25,,
85,235263,ACTIVE,فست فود جینو,2023-08-06 14:45:25,,
86,317265,ACTIVE,رستوران جینو,2023-08-06 14:45:25,,
87,274242,ACTIVE,کترینگ خوان پسند,2023-08-06 14:45:33,,
88,313861,ACTIVE,فست فود کتش فود,2023-08-06 15:45:43,,
89,18818,ACTIVE,غذای ایرانی دریا (بیرون بر),2023-08-06 22:30:13,,
90,56759,ACTIVE,مارکیز برگر (آربی برگر سابق),2023-08-06 22:30:33,,
91,81083,ACTIVE,آش و حلیم کندو,2023-08-06 22:30:46,,
92,93450,ACTIVE,رستوران روکالانژ,2023-08-06 22:30:48,,
93,241999,ACTIVE,باریزو (شعبه مگامال),2023-08-06 22:30:57,,
94,262450,ACTIVE,کافه رستوران استودیو,2023-08-06 22:30:57,,
95,284391,ACTIVE,کافه وی ای پی,2023-08-06 22:30:57,,
96,297157,ACTIVE,بریانکده برشته طلایی,2023-08-06 22:31:15,,
97,14703,ACTIVE,رستوران مزه (توانیر),2023-08-06 22:45:03,,
98,50819,ACTIVE,غذای خانگی ترنج (نارمک),2023-08-06 23:00:08,,
99,236186,ACTIVE,لبنیات کارون,2023-08-07 7:45:05,,
100,26633,ACTIVE,شیرینی فروشی اکلر (نیاوران),2023-08-07 9:45:02,,
101,44870,ACTIVE,باقلوا استانبولی باکلاواچی (یوسف آباد),2023-08-07 10:15:04,,
102,303292,ACTIVE,شیرینی و خشکبار اصل تبریز,2023-08-07 10:15:15,,
103,9291,ACTIVE,فست فود تاپ استیک,2023-08-07 11:15:03,,
104,17669,ACTIVE,فست فود سروژ,2023-08-07 11:15:03,,
105,10274,ACTIVE,تهیه غذای طوس,2023-08-07 12:00:05,,
106,42564,ACTIVE,ترک دنر (مطهری),2023-08-07 12:00:10,,
107,60563,ACTIVE,کترینگ فاخته,2023-08-07 12:00:14,,
108,21140,ACTIVE,فست فود زیمافود,2023-08-07 12:15:05,,
109,45860,ACTIVE,رستوران پروفسور,2023-08-07 12:15:11,,
110,313125,ACTIVE,فست فود گیاهی (های وگن),2023-08-07 12:15:12,,
111,275525,ACTIVE,فست فود پکس,2023-08-07 12:15:43,,
112,287639,ACTIVE,سیتی کنتاکی (فودکورت نیایش مال),2023-08-07 12:15:48,,
113,318458,ACTIVE,تهیه‌ غذای‌ زیتون,2023-08-07 12:16:02,,
114,279183,ACTIVE,دل کوک (تهرانپارس),2023-08-07 12:30:51,,
115,56175,ACTIVE,پروتئین امیر (جردن),2023-08-07 12:45:15,,
116,51911,ACTIVE,پیتزا قائم,2023-08-07 17:45:08,,
117,310963,ACTIVE,فست فود ویژه زاپاتا (سهروردی),2023-08-07 18:00:35,,
118,310018,ACTIVE,کباب ترکی علی بابا,2023-08-07 18:30:36,,
119,46362,ACTIVE,فست فود ترنج (جمالزاده),2023-08-07 18:45:08,,
120,246251,ACTIVE,کباب زعفرانی حاج علی,2023-08-07 18:45:22,,
121,276189,ACTIVE,جی‌ کافه (بهشتی),2023-08-07 18:45:28,,
122,34489,ACTIVE,کترینگ بیست,2023-08-07 19:00:08,,
123,48501,ACTIVE,رستوران مون چری,2023-08-07 19:15:09,,
124,50293,ACTIVE,تهیه غذای آریاپخت (صاحب الزمان),2023-08-07 19:15:10,,
125,86655,ACTIVE,پیتزا طاها,2023-08-07 19:15:18,,
126,77821,ACTIVE,آجیل و خشکبار دآستان (پالادیوم),2023-08-07 19:30:17,,
127,19476,ACTIVE,کترینگ پارسی (جنت آباد),2023-08-07 19:45:05,,
128,52387,ACTIVE,کباب سرای شیرازی نارون,2023-08-07 19:45:42,,
129,33149,ACTIVE,کترینگ طالقانی,2023-08-07 20:00:11,,
130,69151,ACTIVE,کترینگ محسن,2023-08-07 20:00:21,,
131,248991,ACTIVE,کافه رستوران لگنو,2023-08-07 23:00:17,,
132,71315,ACTIVE,طباخی افق,2023-08-08 7:45:04,,
133,318057,ACTIVE,کافه سمفونی,2023-08-08 8:15:10,,
134,303641,ACTIVE,پروتئین جم,2023-08-08 10:15:15,,
135,17795,ACTIVE,فرش باکس (شریعتی),2023-08-08 10:45:02,,
136,62807,ACTIVE,شیرینی الهیه 33 (شعبه نیاوران),2023-08-08 11:00:06,,
137,26750,ACTIVE,کباب کده دنج,2023-08-08 11:45:04,,
138,275434,ACTIVE,مجموعه غذایی ریتون,2023-08-08 11:45:21,,
139,10546,ACTIVE,رستوران فرزانه بناب,2023-08-08 12:15:03,,
140,29521,ACTIVE,کاتسو,2023-08-08 12:15:06,,
141,64675,ACTIVE,فست فود وارلی,2023-08-08 12:15:15,,
142,288954,ACTIVE,فست فود بولداگ,2023-08-08 12:15:40,,
143,317082,ACTIVE,کافه ال دا,2023-08-08 12:15:51,,
144,28100,ACTIVE,آجیل و خشکبار محسن (پاسداران),2023-08-08 13:30:08,,
145,278921,ACTIVE,کافه زولا (نیایش مال),2023-08-08 14:00:34,,
146,14232,ACTIVE,فست فود سوخاری سوخاری,2023-08-08 14:15:04,,
147,29467,ACTIVE,پیتزا سیب 360 (شریعتی),2023-08-08 15:00:07,,
148,26668,ACTIVE,رستوران هانی (قیام),2023-08-08 15:15:04,,
149,317880,ACTIVE,فست فود یامی,2023-08-08 15:15:45,,
150,58373,ACTIVE,نان سحر (نمایندگی بلوار فردوس),2023-08-08 15:45:14,,
151,59949,ACTIVE,کافه رستوران یاشل,2023-08-08 16:15:11,,
152,63823,ACTIVE,کافه پریسکا,2023-08-08 16:15:14,,
153,63819,ACTIVE,رستوران پریسکا,2023-08-08 16:15:14,,
