,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
67,67,67,321335,ACTIVE,آرایشی بهداشتی ارکید طلایی,2023-08-05 10:15:16,,,
68,68,68,292914,ACTIVE,شیرینی نون خامه ای (اندرزگو),2023-08-05 10:30:12,,,
69,69,69,248233,ACTIVE,شیرینی نیشکر (نارمک),2023-08-05 11:15:14,,,
70,70,70,257305,ACTIVE,آبمیوه بستنی سانیار,2023-08-05 13:30:29,,,
71,71,71,80103,ACTIVE,کافه آربی برگر,2023-08-05 14:30:13,,,
72,72,72,61553,ACTIVE,نانوایی سنگکی سنتی خواجه نصیر,2023-08-05 15:15:13,,,
73,73,73,272620,ACTIVE,رستوران نگین شهر,2023-08-05 15:30:32,,,
74,74,74,9654,ACTIVE,فست فود پاییز (دولت آباد),2023-08-05 18:15:03,,,
75,75,75,266812,ACTIVE,کلاس برگر,2023-08-05 19:45:32,,,
76,76,76,247028,ACTIVE,تهیه غذای مهدی,2023-08-05 21:15:26,,,
77,77,77,247281,ACTIVE,فست فود فریلند,2023-08-05 22:30:03,,,
78,78,78,77653,ACTIVE,فروشگاه شیرینی بیلو,2023-08-06 10:15:07,,,
79,79,79,30284,ACTIVE,آسیانا,2023-08-06 11:45:06,,,
80,80,80,291109,ACTIVE,رستوران جیگرط,2023-08-06 11:45:26,,,
81,81,81,59873,ACTIVE,کباب ساطوری بابا میرزا,2023-08-06 12:15:15,,,
82,82,82,320066,ACTIVE,فست فود نارون,2023-08-06 12:15:55,,,
83,83,83,291884,ACTIVE,کترینگ لاوان,2023-08-06 12:30:46,,,
84,84,84,111011,ACTIVE,تهیه غذای تیان,2023-08-06 12:45:25,,,
85,85,85,235263,ACTIVE,فست فود جینو,2023-08-06 14:45:25,,,
86,86,86,317265,ACTIVE,رستوران جینو,2023-08-06 14:45:25,,,
87,87,87,274242,ACTIVE,کترینگ خوان پسند,2023-08-06 14:45:33,,,
88,88,88,313861,ACTIVE,فست فود کتش فود,2023-08-06 15:45:43,,,
89,89,89,18818,ACTIVE,غذای ایرانی دریا (بیرون بر),2023-08-06 22:30:13,,,
90,90,90,56759,ACTIVE,مارکیز برگر (آربی برگر سابق),2023-08-06 22:30:33,,,
91,91,91,81083,ACTIVE,آش و حلیم کندو,2023-08-06 22:30:46,,,
92,92,92,93450,ACTIVE,رستوران روکالانژ,2023-08-06 22:30:48,,,
93,93,93,241999,ACTIVE,باریزو (شعبه مگامال),2023-08-06 22:30:57,,,
94,94,94,262450,ACTIVE,کافه رستوران استودیو,2023-08-06 22:30:57,,,
95,95,95,284391,ACTIVE,کافه وی ای پی,2023-08-06 22:30:57,,,
96,96,96,297157,ACTIVE,بریانکده برشته طلایی,2023-08-06 22:31:15,,,
97,97,97,14703,ACTIVE,رستوران مزه (توانیر),2023-08-06 22:45:03,,,
98,98,98,50819,ACTIVE,غذای خانگی ترنج (نارمک),2023-08-06 23:00:08,,,
